map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
16.65-0.36     16.6398        -0.3646        16.6399        -0.3639
16.661-0.343   16.6808        -0.3430        16.6812        -0.3425  
16.905+0.343   16.9141        0.3245         16.9139        0.3236 
16.905+0.343   16.9056        0.3497         16.9077        0.3501    
17.082+0.442   17.0578        0.4085         17.0579        0.4106     
18.145-0.416   18.1815        -0.4710        18.1817        -0.4720   
18.287-0.256   18.3007        -0.3120        18.3016        -0.3115  
18.287-0.256   18.2656        -0.1561        18.2656        -0.1557   
18.472-0.18    18.4504        -0.2030        18.4504        -0.2026   
18.571-0.435   18.5686        -0.4448        18.5680        -0.4432     
18.886+0.068   18.8208        0.0106         18.8217        0.0108 
18.886+0.068   18.8888        0.1353         18.8894        0.1362    
18.907-0.09    18.9070        -0.0934        18.9059        -0.0924        
18.927-0.524   18.9311        -0.5154        18.9320        -0.5157     
18.949+0.039   18.9223        0.0552         18.9217        0.0551         
18.972-0.404   18.9007        -0.4038        18.8999        -0.4041  
19.07+0.536    19.0768        0.5427         19.0773        0.5433  
19.082-0.291   18.8524        -0.1811        18.8531        -0.1806   
19.082-0.291   18.9128        -0.2083        18.9131        -0.2079   
19.113+0.456   19.0954        0.4440         19.0965        0.4447         
19.113+0.456   19.1137        0.4595         19.1139        0.4601         
19.159-0.493   19.1293        -0.5352        19.1293        -0.5360    
19.242+0.071   19.2427        0.0691         19.2432        0.0696 
19.284+0.455   19.3201        0.4442         19.3206        0.4443      
19.284+0.455   19.3046        0.4854         19.3035        0.4841   
19.52+0.067    19.5284        0.0475         19.5288        0.0487         
19.834-0.749   19.8495        -0.7268        19.8505        -0.7268    
19.968-0.104   19.9689        -0.1043        19.9697        -0.1043  
21.412-0.531   21.4496        -0.6118        21.4500        -0.6111    
21.918-0.002   21.9198        -0.0033        21.9200        -0.0025    
22.056+0.19    22.0278        0.1928         22.0280        0.1924   
22.253+0.03    22.2420        0.0360         22.2431        0.0355     
22.31-0.628    22.3098        -0.6268        22.3081        -0.6263       
22.429+0.269   22.5160        0.3096         22.5165        0.3098  
22.429+0.269   22.5128        0.3262         22.5131        0.3259    
22.429+0.269   22.5084        0.3437         22.5087        0.3449 
22.866-0.41    22.8312        -0.4066        22.8316        -0.4070  
23.078+0.569   23.0364        0.4993         23.0367        0.5015    
23.234-0.27    23.2272        -0.2755        23.2273        -0.2753   
23.321-0.078   23.3240        -0.0771        23.3231        -0.0777  
