map_name       250 glon       250 glat       350 glon       350 glat       
---------------------------------------------------------------------------------------------------------------------------------------
15.55-0.454    15.5462        -0.4480        15.5433        -0.4454 
16.386-0.212   16.3874        -0.2189        16.3877        -0.2190  
16.925+0.242   16.9099        0.2187         16.9108        0.2207         
17.082+0.442   17.1045        0.5316         17.1043        0.5323         
17.082+0.442   17.1060        0.5473         17.1066        0.5471         
18.287-0.256   18.2734        -0.2830        18.2747        -0.2826        
18.287-0.256   18.2481        -0.2070        18.2473        -0.2065        
18.287-0.256   18.2758        -0.2344        18.2771        -0.2375
18.287-0.256   18.3011        -0.2663        18.3009        -0.2666        
18.287-0.256   18.2570        -0.1667        18.2585        -0.1671        
18.326-0.279   18.3076        -0.3244        18.3074        -0.3245  
18.366-0.392   18.3492        -0.3706        18.3496        -0.3698   
18.366-0.392   18.3734        -0.3950        18.3740        -0.3951        
18.681-0.051   18.6776        -0.0538        18.6778        -0.0530        
18.69-0.383    18.6830        -0.3741        18.6857        -0.3755   
18.854+0.713   18.8455        0.6814         18.8458        0.6803    
18.886+0.068   18.9063        0.0303         18.9059        0.0306 
18.886+0.068   18.9080        0.0417         18.9075        0.0404         
18.886+0.068   18.9510        0.0545         18.9513        0.0533         
18.927-0.524   18.9162        -0.5153        18.9172        -0.5155        
18.927-0.524   18.9216        -0.4847        18.9219        -0.4844        
18.997+0.014   19.0043        -0.0090        19.0039        -0.0081        
19.041-0.515   19.0435        -0.5360        19.0418        -0.5361        
19.082-0.291   19.0929        -0.2856        19.0936        -0.2857        
19.42-0.089    19.4134        -0.1174        19.4139        -0.1178        
19.653-0.118   19.6699        -0.1389        19.6709        -0.1383        
19.834-0.336   19.7966        -0.3626        19.7973        -0.3627        
19.834-0.336   19.8422        -0.3451        19.8418        -0.3457   
22.429+0.269   22.3833        0.3048         22.3833        0.3016         
22.429+0.269   22.4153        0.2759         22.4157        0.2760     
22.429+0.269   22.4416        0.2951         22.4429        0.2957         
22.429+0.269   22.4682        0.3086         22.4682        0.3094        
22.429+0.269   22.4906        0.3230         22.4901        0.3230        
22.546-0.526   22.5221        -0.5222        22.5220        -0.5211  
22.546-0.526   22.5338        -0.5290        22.5352        -0.5289    
22.546-0.526   22.5301        -0.5168        22.5294        -0.5167 
22.729+0.126   22.7183        0.1080         22.7181        0.1086  
23.117+0.137   23.1140        0.1113         23.1145        0.1097   
23.126+0.624   23.1176        0.5995         23.1203        0.6015     
23.655-0.143   23.6679        -0.1338        23.6678        -0.1342         
